Events,,,,
200,,,,
Subject,Context,Name,Time (s),Description
Id_5,Left,Foot Off,0.25,The instant the toe leaves the ground
Id_5,Left,Foot Strike,0.63,The instant the heel strikes the ground
Id_5,Left,Foot Off,0.94,The instant the toe leaves the ground
Id_5,Left,Foot Strike,1.325,The instant the heel strikes the ground
Id_5,Left,Foot Off,1.635,The instant the toe leaves the ground
Id_5,Left,Foot Strike,1.995,The instant the heel strikes the ground
Id_5,Left,Foot Off,2.315,The instant the toe leaves the ground
Id_5,Left,Foot Strike,2.685,The instant the heel strikes the ground
Id_5,Left,Foot Off,3.015,The instant the toe leaves the ground
Id_5,Left,Foot Strike,3.39,The instant the heel strikes the ground
Id_5,Left,Foot Off,3.715,The instant the toe leaves the ground
Id_5,Left,Foot Strike,4.075,The instant the heel strikes the ground
Id_5,Left,Foot Off,4.41,The instant the toe leaves the ground
Id_5,Left,Foot Strike,4.77,The instant the heel strikes the ground
Id_5,Left,Foot Off,5.1,The instant the toe leaves the ground
Id_5,Left,Foot Strike,5.49,The instant the heel strikes the ground
Id_5,Left,Foot Off,5.8,The instant the toe leaves the ground
Id_5,Left,Foot Strike,6.165,The instant the heel strikes the ground
Id_5,Left,Foot Off,6.48,The instant the toe leaves the ground
Id_5,Left,Foot Strike,6.83,The instant the heel strikes the ground
Id_5,Left,Foot Off,7.15,The instant the toe leaves the ground
Id_5,Left,Foot Strike,7.505,The instant the heel strikes the ground
Id_5,Left,Foot Off,7.82,The instant the toe leaves the ground
Id_5,Left,Foot Strike,8.205,The instant the heel strikes the ground
Id_5,Left,Foot Off,8.525,The instant the toe leaves the ground
Id_5,Left,Foot Strike,8.885,The instant the heel strikes the ground
Id_5,Left,Foot Off,9.205,The instant the toe leaves the ground
Id_5,Left,Foot Strike,9.575,The instant the heel strikes the ground
Id_5,Left,Foot Off,9.89,The instant the toe leaves the ground
Id_5,Left,Foot Strike,10.255,The instant the heel strikes the ground
Id_5,Left,Foot Off,10.575,The instant the toe leaves the ground
Id_5,Left,Foot Strike,10.945,The instant the heel strikes the ground
Id_5,Left,Foot Off,11.265,The instant the toe leaves the ground
Id_5,Left,Foot Strike,11.615,The instant the heel strikes the ground
Id_5,Left,Foot Off,11.94,The instant the toe leaves the ground
Id_5,Left,Foot Strike,12.31,The instant the heel strikes the ground
Id_5,Left,Foot Off,12.62,The instant the toe leaves the ground
Id_5,Left,Foot Strike,12.96,The instant the heel strikes the ground
Id_5,Left,Foot Off,13.285,The instant the toe leaves the ground
Id_5,Left,Foot Strike,13.66,The instant the heel strikes the ground
Id_5,Left,Foot Off,13.975,The instant the toe leaves the ground
Id_5,Left,Foot Strike,14.345,The instant the heel strikes the ground
Id_5,Left,Foot Off,14.655,The instant the toe leaves the ground
Id_5,Left,Foot Strike,15.005,The instant the heel strikes the ground
Id_5,Right,Foot Strike,0.255,The instant the heel strikes the ground
Id_5,Right,Foot Off,0.59,The instant the toe leaves the ground
Id_5,Right,Foot Strike,0.96,The instant the heel strikes the ground
Id_5,Right,Foot Off,1.275,The instant the toe leaves the ground
Id_5,Right,Foot Strike,1.63,The instant the heel strikes the ground
Id_5,Right,Foot Off,1.975,The instant the toe leaves the ground
Id_5,Right,Foot Strike,2.335,The instant the heel strikes the ground
Id_5,Right,Foot Off,2.67,The instant the toe leaves the ground
Id_5,Right,Foot Strike,3,The instant the heel strikes the ground
Id_5,Right,Foot Off,3.355,The instant the toe leaves the ground
Id_5,Right,Foot Strike,3.7,The instant the heel strikes the ground
Id_5,Right,Foot Off,4.055,The instant the toe leaves the ground
Id_5,Right,Foot Strike,4.395,The instant the heel strikes the ground
Id_5,Right,Foot Off,4.745,The instant the toe leaves the ground
Id_5,Right,Foot Strike,5.095,The instant the heel strikes the ground
Id_5,Right,Foot Off,5.44,The instant the toe leaves the ground
Id_5,Right,Foot Strike,5.795,The instant the heel strikes the ground
Id_5,Right,Foot Off,6.135,The instant the toe leaves the ground
Id_5,Right,Foot Strike,6.49,The instant the heel strikes the ground
Id_5,Right,Foot Off,6.82,The instant the toe leaves the ground
Id_5,Right,Foot Strike,7.14,The instant the heel strikes the ground
Id_5,Right,Foot Off,7.48,The instant the toe leaves the ground
Id_5,Right,Foot Strike,7.835,The instant the heel strikes the ground
Id_5,Right,Foot Off,8.155,The instant the toe leaves the ground
Id_5,Right,Foot Strike,8.495,The instant the heel strikes the ground
Id_5,Right,Foot Off,8.855,The instant the toe leaves the ground
Id_5,Right,Foot Strike,9.22,The instant the heel strikes the ground
Id_5,Right,Foot Off,9.55,The instant the toe leaves the ground
Id_5,Right,Foot Strike,9.88,The instant the heel strikes the ground
Id_5,Right,Foot Off,10.225,The instant the toe leaves the ground
Id_5,Right,Foot Strike,10.575,The instant the heel strikes the ground
Id_5,Right,Foot Off,10.915,The instant the toe leaves the ground
Id_5,Right,Foot Strike,11.28,The instant the heel strikes the ground
Id_5,Right,Foot Off,11.61,The instant the toe leaves the ground
Id_5,Right,Foot Strike,11.95,The instant the heel strikes the ground
Id_5,Right,Foot Off,12.275,The instant the toe leaves the ground
Id_5,Right,Foot Strike,12.61,The instant the heel strikes the ground
Id_5,Right,Foot Off,12.95,The instant the toe leaves the ground
Id_5,Right,Foot Strike,13.3,The instant the heel strikes the ground
Id_5,Right,Foot Off,13.625,The instant the toe leaves the ground
Id_5,Right,Foot Strike,13.985,The instant the heel strikes the ground
Id_5,Right,Foot Off,14.315,The instant the toe leaves the ground
Id_5,Right,Foot Strike,14.64,The instant the heel strikes the ground
Id_5,Right,Foot Off,14.99,The instant the toe leaves the ground
