Subject;Context;Name;Time (s);Description
GF_P1;Left;Foot Strike;1.7;The instant the heel strikes the ground
GF_P1;Left;Foot Off;2.64;The instant the toe leaves the ground
GF_P1;Left;Foot Strike;3.14;The instant the heel strikes the ground
GF_P1;Left;Foot Off;4.05;The instant the toe leaves the ground
GF_P1;Left;Foot Strike;4.59;The instant the heel strikes the ground
GF_P1;Left;Foot Off;5.555;The instant the toe leaves the ground
GF_P1;Left;Foot Strike;6.0675;The instant the heel strikes the ground
GF_P1;Left;Foot Off;7.005;The instant the toe leaves the ground
GF_P1;Left;Foot Strike;7.5075;The instant the heel strikes the ground
GF_P1;Left;Foot Off;8.425;The instant the toe leaves the ground
GF_P1;Left;Foot Strike;8.9475;The instant the heel strikes the ground
GF_P1;Left;Foot Off;9.915;The instant the toe leaves the ground
GF_P1;Left;Foot Strike;10.3975;The instant the heel strikes the ground
GF_P1;Left;Foot Off;11.315;The instant the toe leaves the ground
GF_P1;Left;Foot Strike;11.8675;The instant the heel strikes the ground
GF_P1;Left;Foot Off;12.825;The instant the toe leaves the ground
GF_P1;Left;Foot Strike;13.3725;The instant the heel strikes the ground
GF_P1;Left;Foot Off;14.325;The instant the toe leaves the ground
GF_P1;Left;Foot Strike;14.8425;The instant the heel strikes the ground
GF_P1;Left;Foot Off;15.755;The instant the toe leaves the ground
GF_P1;Left;Foot Strike;16.2925;The instant the heel strikes the ground
GF_P1;Left;Foot Off;17.245;The instant the toe leaves the ground
GF_P1;Left;Foot Strike;17.7925;The instant the heel strikes the ground
GF_P1;Left;Foot Off;18.705;The instant the toe leaves the ground
GF_P1;Left;Foot Strike;19.2425;The instant the heel strikes the ground
GF_P1;Left;Foot Off;20.155;The instant the toe leaves the ground
GF_P1;Left;Foot Strike;20.7025;The instant the heel strikes the ground
GF_P1;Left;Foot Off;21.565;The instant the toe leaves the ground
GF_P1;Left;Foot Strike;22.1225;The instant the heel strikes the ground
GF_P1;Left;Foot Off;23.025;The instant the toe leaves the ground
GF_P1;Left;Foot Strike;23.5525;The instant the heel strikes the ground
GF_P1;Left;Foot Off;24.475;The instant the toe leaves the ground
GF_P1;Left;Foot Strike;24.9625;The instant the heel strikes the ground
GF_P1;Left;Foot Off;25.875;The instant the toe leaves the ground
GF_P1;Left;Foot Strike;26.4525;The instant the heel strikes the ground
GF_P1;Left;Foot Off;27.415;The instant the toe leaves the ground
GF_P1;Left;Foot Strike;27.9525;The instant the heel strikes the ground
GF_P1;Left;Foot Off;28.865;The instant the toe leaves the ground
GF_P1;Left;Foot Strike;29.4025;The instant the heel strikes the ground
GF_P1;Right;Foot Strike;0.97;The instant the heel strikes the ground
GF_P1;Right;Foot Off;1.88;The instant the toe leaves the ground
GF_P1;Right;Foot Strike;2.39;The instant the heel strikes the ground
GF_P1;Right;Foot Off;3.35;The instant the toe leaves the ground
GF_P1;Right;Foot Strike;3.88;The instant the heel strikes the ground
GF_P1;Right;Foot Off;4.81;The instant the toe leaves the ground
GF_P1;Right;Foot Strike;5.32;The instant the heel strikes the ground
GF_P1;Right;Foot Off;6.28;The instant the toe leaves the ground
GF_P1;Right;Foot Strike;6.78;The instant the heel strikes the ground
GF_P1;Right;Foot Off;7.71;The instant the toe leaves the ground
GF_P1;Right;Foot Strike;8.22;The instant the heel strikes the ground
GF_P1;Right;Foot Off;9.15;The instant the toe leaves the ground
GF_P1;Right;Foot Strike;9.67;The instant the heel strikes the ground
GF_P1;Right;Foot Off;10.58;The instant the toe leaves the ground
GF_P1;Right;Foot Strike;11.09;The instant the heel strikes the ground
GF_P1;Right;Foot Off;12.07;The instant the toe leaves the ground
GF_P1;Right;Foot Strike;12.59;The instant the heel strikes the ground
GF_P1;Right;Foot Off;13.56;The instant the toe leaves the ground
GF_P1;Right;Foot Strike;14.1;The instant the heel strikes the ground
GF_P1;Right;Foot Off;15.03;The instant the toe leaves the ground
GF_P1;Right;Foot Strike;15.57;The instant the heel strikes the ground
GF_P1;Right;Foot Off;16.5;The instant the toe leaves the ground
GF_P1;Right;Foot Strike;17.04;The instant the heel strikes the ground
GF_P1;Right;Foot Off;17.98;The instant the toe leaves the ground
GF_P1;Right;Foot Strike;18.51;The instant the heel strikes the ground
GF_P1;Right;Foot Off;19.43;The instant the toe leaves the ground
GF_P1;Right;Foot Strike;19.96;The instant the heel strikes the ground
GF_P1;Right;Foot Off;20.87;The instant the toe leaves the ground
GF_P1;Right;Foot Strike;21.39;The instant the heel strikes the ground
GF_P1;Right;Foot Off;22.3;The instant the toe leaves the ground
GF_P1;Right;Foot Strike;22.83;The instant the heel strikes the ground
GF_P1;Right;Foot Off;23.72;The instant the toe leaves the ground
GF_P1;Right;Foot Strike;24.25;The instant the heel strikes the ground
GF_P1;Right;Foot Off;25.13;The instant the toe leaves the ground
GF_P1;Right;Foot Strike;25.68;The instant the heel strikes the ground
GF_P1;Right;Foot Off;26.62;The instant the toe leaves the ground
GF_P1;Right;Foot Strike;27.21;The instant the heel strikes the ground
GF_P1;Right;Foot Off;28.13;The instant the toe leaves the ground
GF_P1;Right;Foot Strike;28.68;The instant the heel strikes the ground
